Date,BLH,WindSpeed,VentilationCoefficient,PM25,PM10,Toluene,Benzene,Ozone,AdjustedPM25,AdjustedPM10,AdjustedToluene,AdjustedBenzene,AdjustedOzone
14-Mar-2024 15:00:00,154.458810697742,3.25081753879833,502.11741083815,28.5,109.75,0.625,0.2,77.05,0.056759633075513,0.218574376492546,0.00124472879551564,0.000398313214565003,0.153450165911168
14-Mar-2024 16:00:00,205.745777026222,3.61784801236933,744.356950467699,24.25,136,0.775,0.2,73.65,0.0325784557862502,0.182708040698146,0.00104116714368429,0.000268688295144332,0.0989444646869002
14-Mar-2024 17:00:00,219.908354329348,3.69162580311504,811.819355162788,26.25,140.25,0.775,0.2,72.575,0.032334779693367,0.172760108647418,0.000954645876661311,0.000246360226235177,0.0893979670950899
14-Mar-2024 18:00:00,209.014064096174,3.69215126014306,771.711540140312,31,161.25,1.15,0.275,44.775,0.0401704502104033,0.208951132142823,0.00149019412070851,0.000356350767995513,0.0580203841345421
14-Mar-2024 19:00:00,195.773311351239,3.55436036223376,695.848897850095,37,195,2.3,0.275,27.875,0.0531724633240288,0.280233252653665,0.0033053152877099,0.000395200740921836,0.0400589841934406
14-Mar-2024 20:00:00,181.107920652736,3.42123799329,619.613299022892,47.5,226.5,4,0.3,19.3,0.0766607173779288,0.365550578654755,0.00645563935814137,0.000484172951860603,0.0311484599030321
14-Mar-2024 21:00:00,167.112947814736,3.25244881284742,543.52630873147,49,227.25,4.575,0.3,22.625,0.090152029833405,0.41810303631921,0.00841725584669037,0.000551951203061663,0.0416263198975671
14-Mar-2024 22:00:00,194.013464467419,3.33703403464197,647.429534106579,37.75,181,3.625,0.3,26.525,0.0583075037688745,0.279567104163345,0.00559906493144821,0.000463370890878473,0.0409697096018383
14-Mar-2024 23:00:00,172.224884001072,3.11071873037395,535.743172498615,31,156.5,2.525,0.3,23.925,0.0578635465486593,0.292117581769844,0.00471307919468918,0.000559969805309606,0.0446575919734411
15-Mar-2024 00:00:00,158.984131256137,3.02917407556925,481.590608827989,33.5,149.75,2.25,0.225,25.325,0.0695611571029726,0.310948754512542,0.00467201801437876,0.000467201801437876,0.0525861583173965
15-Mar-2024 01:00:00,144.570147255322,2.98859599501886,432.061763086544,30,125,1.9,0.2,25.8,0.0694345173840131,0.289310489100055,0.00439751943432083,0.000462896782560088,0.0597136849502513
15-Mar-2024 02:00:00,164.766485302976,3.53898997986981,583.106940505596,27.25,122.25,1.725,0.2,24.6,0.0467324226605368,0.209652795238555,0.00295829097575875,0.000342990258058986,0.0421878017412552
15-Mar-2024 03:00:00,233.065304841719,3.52119597486728,820.668613289879,18.25,108,1.525,0.125,24.125,0.0222379651231449,0.131600012783542,0.00185824092124909,0.000152314829610581,0.0293967621148422
15-Mar-2024 04:00:00,313.599250334644,3.7839088406072,1186.63097574905,17.5,92.25,1.2,0.15,24.3,0.0147476345701774,0.0777411022342208,0.00101126637052645,0.000126408296315806,0.0204781440031606
15-Mar-2024 05:00:00,485.645233786228,3.93041223299814,1908.78596777063,22.25,101,1.025,0.15,17.4,0.0116566238308986,0.0529132137941914,0.00053699053603016,7.85839808824624e-05,0.00911574178236564
15-Mar-2024 06:00:00,773.924913802523,4.27660041189399,3309.76760514289,23.5,111.5,0.925,0.15,15.725,0.00710019638946386,0.0336881658478817,0.00027947581532996,4.53204024859395e-05,0.00475108886060933
15-Mar-2024 07:00:00,1146.17443084682,4.54476677821034,5209.09547534677,25,127.25,0.8,0.15,15.775,0.00479929771268701,0.0244284253575769,0.000153577526805984,2.87957862761221e-05,0.0030283568567055
15-Mar-2024 08:00:00,1369.00456723151,4.62450817743052,6330.97281610183,26,137,0.75,0.15,34.35,0.00410679381435237,0.0216396443294721,0.000118465206183241,2.36930412366483e-05,0.00542570644319246
15-Mar-2024 09:00:00,1455.4884712364,4.61354487791445,6714.96138133621,28.5,145.25,0.7,0.2,47.425,0.00424425374644951,0.0216308019884839,0.000104244828860164,2.97842368171896e-05,0.00706258715527608
15-Mar-2024 10:00:00,1430.4316037001,4.14602769692014,5930.60904749049,25,137.75,0.75,0.2,62.05,0.00421541865258824,0.0232269567757612,0.000126462559577647,3.3723349220706e-05,0.010462669095724
15-Mar-2024 11:00:00,1380.3178686275,3.54640182597381,4895.16180972482,17.5,121.25,0.8,0.2,73.125,0.00357495843451674,0.0247693548677231,0.000163426671292194,4.08566678230485e-05,0.0149382191728021
15-Mar-2024 12:00:00,300.945113217649,1.99805630379427,601.305280560603,13.25,115,0.8,0.2,75.925,0.0220353960431661,0.191250607167102,0.00133043900637984,0.00033260975159496,0.126266976949237
15-Mar-2024 13:00:00,82.3888906936681,2.91948851294956,240.533419974821,15,102.5,0.75,0.2,75.775,0.062361396605803,0.426136210139654,0.00311806983029015,0.000831485288077373,0.315028988520315
15-Mar-2024 14:00:00,54.5665494827931,2.6719463152812,145.798890828158,16.75,101.25,0.625,0.175,78.75,0.114884275901261,0.694449727462848,0.00428672671273363,0.00120028347956542,0.540127565804437
15-Mar-2024 15:00:00,51.0468557151526,2.58143868408619,131.774328044061,12.75,98.5,0.675,0.175,77.275,0.0967563271939951,0.747490057145766,0.00512239379262327,0.00132802802030974,0.586419230111057
