Date,BLH,WindSpeed,WindDirection,VentilationCoefficient,PM25,PM10,Toluene,Benzene,Ozone,NO,NO2,ExcelWindSpeed,ExcelWindDirection,AdjustedPM25,AdjustedPM10,AdjustedToluene,AdjustedBenzene,AdjustedOzone,AdjustedNO,AdjustedNO2,HourlyAvgWindSpeed,HourlyAvgWindDirection
04-Apr-2024 10:00:00,2874.0088618282,3.64214595550242,-49.4769318144891,10467.5597521857,80.75,265.25,1.15,0.275,103.4,1.875,26.925,3.325,42.75,0.00771430991670612,0.0253401944941956,0.000109863237203864,2.62716436791849e-05,0.00987813802337353,0.00017912484326717,0.00257223274931656,3.325,42.75
04-Apr-2024 11:00:00,2834.2866035934,3.37343465727053,-49.4449067302725,9561.28065719954,46.5,176.25,0.875,0.225,118.475,1.275,23.25,3.15,45.5,0.00486336524019782,0.0184337230878466,9.15149373155503e-05,2.35324124525701e-05,0.0123911225125255,0.00013335033723123,0.00243168262009891,3.15,45.5
04-Apr-2024 12:00:00,215.550638236079,1.68845385904324,-56.5292970718666,363.94730694894,39.75,168,0.825,0.2,104.75,1.075,21,2.975,47,0.109219107384621,0.461605284040663,0.00226681166269968,0.000549530100048408,0.287816389900354,0.00295372428776019,0.0577006605050829,2.975,47
04-Apr-2024 13:00:00,54.2313405525415,2.70521810224275,-58.4153574215203,146.707604171627,27.6666666666667,126,0.7,0.2,131.866666666667,1.26666666666667,21.0666666666667,2.83333333333333,46,0.18858372626889,0.8588511871041,0.00477139548391166,0.00136325585254619,0.898840025445455,0.00863395373279254,0.143596283134865,2.83333333333333,46
04-Apr-2024 14:00:00,46.1025239939427,2.77298238725863,-70.9809200251283,127.841487043371,35,150,0.95,0.2,128.6,1.45,21.6,3.55,47,0.273776540068921,1.1733280288668,0.00743107751615642,0.0015644373718224,1.00593323008181,0.0113421709457124,0.16895923615682,3.55,47
04-Apr-2024 15:00:00,58.9242655760627,2.3815802241182,-75.9335602437471,140.33286561664,28.25,146.25,0.625,0.025,96.875,1.525,22.6,3.2,91.25,0.201307084237652,1.0421649936197,0.00445369655393035,0.000178147862157214,0.690322965859204,0.0108670195915901,0.161045667390121,3.2,91.25
04-Apr-2024 16:00:00,94.7078188804107,2.75293751188281,-84.423244749236,260.724707264486,23.25,128,0.5,0.1,88.6,1.55,22.725,2.975,65.25,0.0891745176126121,0.490939279759757,0.00191773156156155,0.00038354631231231,0.339822032708707,0.00594496784084081,0.0871608994729725,2.975,65.25
04-Apr-2024 17:00:00,164.515078605287,3.25390630939946,-90.2818351240453,535.316652265092,22.75,124,0.775,0.1,93.4,1.45,22,2.7,29.25,0.0424982109256973,0.231638600210394,0.00144774125131496,0.000186805322750318,0.174476171448797,0.00270867717987961,0.0410971710050699,2.7,29.25
04-Apr-2024 18:00:00,186.806472467012,3.18772987811185,-92.6891792181467,595.488573707773,21.25,129.75,1.25,0.175,83.625,1.275,29.65,1.35,9,0.0356849836222519,0.217888311764103,0.00209911668366188,0.000293876335712663,0.140430906136979,0.00214109901733511,0.0497910477364597,1.35,9
04-Apr-2024 19:00:00,164.431276372724,2.87892073242086,-95.2477418431284,473.38461060786,33.75,175.75,2.175,0.4,35.475,2.125,48.925,0.775,8,0.0712950933420978,0.371262597181443,0.0045945726820463,0.000844978884054493,0.0749390647795828,0.00448895032153949,0.103351479755915,0.775,8
